Name	Stokes	ErrStlw	ErrStup	A_d	ErrA_d
IRS48	0.12143	0.08095	0.28334	427.00	142.00
HD142527	0.02200	0.01760	0.08800	25.00	8.60
ABAur	0.02580	0.02064	0.10318	2.70	0.05
MWC758_50	0.01902	0.01522	0.07610	3.70	0.07
MWC758_90	0.02340	0.01872	0.09360	9.80	0.70
HD135344B_79	0.02995	0.01997	0.06988	11.00	1.10
SR21_36	0.00061	0.00040	0.00141	1.50	0.03
SR21_61	0.00293	0.00195	0.00684	1.30	0.02
HD135344B_51	0.00631	0.00421	0.01472	1.50	0.04
DoAr44	0.00168	0.00112	0.00391	1.10	0.01
J1604-2130	0.02140	0.01427	0.04994	1.00	0.01
LkCa15	0.00604	0.00403	0.01410	1.20	0.02
PDS70	0.02688	0.01792	0.06271	1.50	0.01
CQTau	0.02867	0.01911	0.06689	1.50	0.01
Sz91	0.06985	0.04656	0.16298	1.30	0.03
HD169142_25	0.00164	0.00109	0.00383	1.20	0.01
HD169142_60	0.00559	0.00373	0.01305	1.70	0.02
DMTau_25	0.00725	0.00580	0.02901	1.20	0.01
HD163296_22	0.00021	0.00014	0.00050	1.10	0.01
HD163296_67	0.00087	0.00058	0.00204	1.70	0.02
HD163296_100	0.00162	0.00108	0.00379	2.20	0.06
TWHya_02	0.00207	0.00166	0.00828	1.10	0.01
TWHya_12	0.00507	0.00406	0.02028	1.10	0.01
TWHya_29	0.00788	0.00630	0.03152	1.20	0.02
TWHya_40	0.00926	0.00740	0.03702	1.20	0.03
