Name	Stokes	ErrStlw	ErrStup	A_d	ErrA_d
IRS48	0.12143	0.08095	0.28334	56.5	1.00
HD142527	0.02200	0.01760	0.08800	141.3	1.00
ABAur	0.02580	0.02064	0.10318	212.0	1.00
MWC758_50	0.01902	0.01522	0.07610	47.10	1.00
MWC758_90	0.02340	0.01872	0.09360	58.90	1.00
HD135344B_79	0.02995	0.01997	0.06988	96.10	1.00
SR21_36	0.00061	0.00040	0.00141	360.0	100.
SR21_61	0.00293	0.00195	0.00684	70.7	1.0
HD135344B_51	0.00631	0.00421	0.01472	360.0	1.0
DoAr44	0.00168	0.00112	0.00391	360.0	1.0
J1604-2130	0.02140	0.01427	0.04994	360.0	1.0
LkCa15	0.00604	0.00403	0.01410	360.0	1.0
PDS70	0.02688	0.01792	0.06271	360.0	1.0
CQTau	0.02867	0.01911	0.06689	360.0	1.0
HD169142_25	0.00164	0.00109	0.00383	360.0	1.0
HD169142_60	0.00559	0.00373	0.01305	360.0	1.0
DMTau_25	0.00725	0.00580	0.02901	360.0	1.0
HD163296_22	0.00021	0.00014	0.00050	360.0	1.0
HD163296_67	0.00087	0.00058	0.00204	360.0	1.0
HD163296_100	0.00162	0.00108	0.00379	360.0	1.0
TWHya_02	0.00207	0.00166	0.00828	360.0	1.0
TWHya_12	0.00507	0.00406	0.02028	360.0	1.0
TWHya_29	0.00788	0.00630	0.03152	360.0	1.0
TWHya_40	0.00926	0.00740	0.03702	360.0	1.0
